Type,Batting Average,Batting Strike Rate,Runs Scored ,Bowling Average,Bowling Strike Rate,Economy,Player
Batsman,60.34,93.84,10802,166.25,160.25,6.22,V Kohli (INDIA)
Batsman,53.44,90.44,7963,64.38,74.12,5.21,RG Sharma (INDIA)
Batsman,49.76,89.11,7265,,,,HM Amla (SA)
Batsman,64.2,109.76,6485,28.86,27.43,6.31,AB de Villiers (SA)
Batsman,54.01,83.56,6428,,,,LRPL Taylor (NZ)
Batsman,52.96,84.7,6356,,,,KC Sangakkara (SL)
Batsman,44.65,87.03,6296,45.08,55.47,4.88,TM Dilshan (SL)
Batsman,40.52,94.9,6241,,,,EJG Morgan (ENG)
Batsman,47.9,81.82,6132,35.41,39.65,5.36,KS Williamson (NZ)
Batsman,42.35,88.06,5888,24.5,27.25,5.39,MJ Guptill (NZ)
Batsman,51.36,87.37,5856,61.95,64.27,5.78,JE Root (ENG)
Batsman,37.27,80.5,5740,38.86,55.63,4.19,Mohammad Hafeez (PAK)
Batsman,50.35,85.79,5640,31,36,5.17,MS Dhoni (INDIA)
Batsman,47.47,88.6,5507,94.5,96,5.91,F du Plessis (SA)
Batsman,44.91,93.99,5480,,,,S Dhawan (IN)
Bowler,6.82,74.3,437,28.94,31.6,5.47,SL Malinga (SL)
Bowler,16.76,96.35,570,24.45,31.1,4.71,MG Johnson (AUS)
Bowler,7.85,69.77,157,24.83,32,4.65,Imran Tahir (SA)
Bowler,12.42,89.46,348,20.99,25,5.02,MA Starc (AUS)
Bowler,7.38,84.17,133,24.75,27.1,5.48,Mohammed Shami (INDIA)
Bowler,11.93,87.67,740,36.13,42,5.15,Mashrafe Mortaza (BDESH)
Bowler,9.62,73.68,154,25.06,29.7,5.05,TA Boult (NZ)
Bowler,6,60.56,252,21.9,30.9,4.24,Saeed Ajmal (PAK)
Bowler,13.06,12.75,575,34.11,37.3,5.48,TG Southee (NZ)
Bowler,7.82,75.7,94,24.46,29.5,4.96,M Morkel (SA)
Bowler,16.07,86.98,675,32.91,40.1,4.91,R Ashwin (INDIA)
Bowler,9.57,64.94,316,24.8,31.4,4.72,DW Steyn (SA)
Bowler,16.18,77.77,259,27.34,32.8,4.99,K Rabada (SA)
Bowler,18.85,102.43,528,31.11,33.1,5.62,AU Rashid (ENG)
Bowler,20.52,101.23,903,17.8,25.7,4.14,Rashid Khan (AFG)
